Subject,Subtopic,Q_No,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Answer
Physics,"Errors (absolute, relative, percentage, propagation)",19,Easy,"For Z = A x B, the relative error ΔZ/Z is",ΔA/A x ΔB/B,ΔA/A - ΔB/B,ΔA/A + ΔB/B,ΔA x ΔB,C
Physics,"Errors (absolute, relative, percentage, propagation)",20,Easy,Accuracy refers to,How close readings are to each other,How close a reading is to the true value,The smallest readable value,The range of measurement,B
Physics,"Errors (absolute, relative, percentage, propagation)",21,Easy,Precision refers to,How close a reading is to the true value,How close repeated readings are to each other,The number of decimal places,The instrument's range,B
Physics,"Errors (absolute, relative, percentage, propagation)",22,Easy,Propagation of errors deals with,How errors spread from one lab to another,How errors in measurements affect the calculated result,Eliminating all errors,The speed of error,B
Physics,"Errors (absolute, relative, percentage, propagation)",23,Easy,"If Z = A - B, then ΔZ =",ΔA - ΔB,ΔA + ΔB,ΔA x ΔB,ΔA / ΔB,B
Physics,"Errors (absolute, relative, percentage, propagation)",24,Easy,The number of significant figures in 0.0050 is,1,2,4,5,B
Physics,"Errors (absolute, relative, percentage, propagation)",25,Easy,Which of the following reduces random error?,Calibrating the instrument,Taking average of many readings,Correcting for zero error,Using a better instrument,B
Physics,"Errors (absolute, relative, percentage, propagation)",26,Medium,A length is measured as 5.4 cm with a scale of least count 0.1 cm. Relative error is,0.019,0.037,0.1,0.54,A
Physics,"Errors (absolute, relative, percentage, propagation)",27,Medium,"If X = a2*b3 and errors in a and b are 1% and 2%, error in X is",5%,8%,3%,4%,B
Physics,"Errors (absolute, relative, percentage, propagation)",28,Medium,"If Z = A/B and ΔA/A = 3%, ΔB/B = 2%, then percentage error in Z is",1%,5%,6%,3%,B
Physics,"Errors (absolute, relative, percentage, propagation)",29,Medium,A resistance R = V/I where V = (100 ± 5) V and I = (10 ± 0.2) A. Percentage error in R is,5%,2%,7%,3%,C
Physics,"Errors (absolute, relative, percentage, propagation)",30,Medium,"Three readings are 10.1, 9.9, 10.0 cm. Mean value and mean absolute error are","10.0 cm, 0.067 cm","10.0 cm, 0.1 cm","10.0 cm, 0.033 cm","9.9 cm, 0.1 cm",A
Physics,"Errors (absolute, relative, percentage, propagation)",31,Medium,"If T = 2π√(l/g), and error in l is 2%, error in T is",2%,4%,1%,0.5%,C
Physics,"Errors (absolute, relative, percentage, propagation)",32,Medium,The percentage error in measuring diameter d of a sphere when error in d is 1% is — for volume V = πd3/6,1%,2%,3%,6%,C
Physics,"Errors (absolute, relative, percentage, propagation)",33,Medium,Absolute error can be,Positive,Negative,Both positive and negative,Always zero,C
Physics,"Errors (absolute, relative, percentage, propagation)",34,Medium,A stopwatch reads 2.36 s with least count 0.01 s. Percentage error is approximately,0.42%,4.2%,0.042%,42%,A
Physics,"Errors (absolute, relative, percentage, propagation)",35,Medium,"If Z = A^n, then relative error in Z is",n times relative error in A,n2 times relative error in A,Relative error in A / n,Relative error in A + n,A
Physics,"Errors (absolute, relative, percentage, propagation)",36,Medium,Systematic error is called bias because it,Is very large,Shifts all readings in one direction,Occurs randomly,Cannot be measured,B
Physics,"Errors (absolute, relative, percentage, propagation)",37,Medium,"In a measurement, the absolute errors are 0.1, 0.2, 0.3 and 0.2 cm. Mean absolute error is",0.1 cm,0.2 cm,0.3 cm,0.4 cm,B
Physics,"Errors (absolute, relative, percentage, propagation)",38,Medium,Parallax error is a type of,Random error,Systematic error,Least count error,Gross error,B
Physics,"Errors (absolute, relative, percentage, propagation)",39,Medium,"If the radius of a circle is measured with 2% error, percentage error in area is",2%,4%,1%,8%,B
Physics,"Errors (absolute, relative, percentage, propagation)",40,Medium,Calibration of instrument helps to reduce,Random error,Gross error,Systematic error,None of the above,C
Physics,"Errors (absolute, relative, percentage, propagation)",41,Medium,"For Z = A^2 * B^(1/2), if error in A is 2% and in B is 4%, error in Z is",8%,6%,4%,2%,B
Physics,"Errors (absolute, relative, percentage, propagation)",42,Medium,"If measurement of voltage = 220 ± 4 V and current = 5 ± 0.2 A, power P = VI. Percentage error in P is",4%,5.8%,1.8%,6%,B
Physics,"Errors (absolute, relative, percentage, propagation)",43,Medium,"To reduce least count error, one should",Average multiple readings,Use instrument of smaller least count,Both A and B,None,C
Physics,"Errors (absolute, relative, percentage, propagation)",44,Medium,The term significant figures is related to,Size of the quantity,Precision of measurement,Units of measurement,Error in measurement,B
Physics,"Errors (absolute, relative, percentage, propagation)",45,Medium,The percentage error formula (%error = |true-measured|/true x100) gives,Positive result always,Negative result,Zero result always,Can be any sign,A
Physics,"Errors (absolute, relative, percentage, propagation)",46,Medium,"When errors are combined in addition/subtraction, we add",Relative errors,Absolute errors,Percentage errors,None,B
Physics,"Errors (absolute, relative, percentage, propagation)",47,Medium,"When errors are combined in multiplication/division, we add",Absolute errors,Relative errors,Square of errors,Reciprocal of errors,B
Physics,"Errors (absolute, relative, percentage, propagation)",48,Medium,"If a clock loses 5 s in a day, the relative error is",5/86400,5/3600,5/1440,5/24,A
Physics,"Errors (absolute, relative, percentage, propagation)",49,Medium,Zero error of a Vernier caliper can be,Positive,Negative,Both positive and negative,Always zero,C
Physics,"Errors (absolute, relative, percentage, propagation)",50,Medium,"Which set of readings has highest precision? (All measure same quantity, true value = 5.00)","4.99, 4.98, 5.01","4.5, 5.0, 5.5","3.0, 5.0, 7.0","4.50, 5.50, 6.50",A
Physics,"Errors (absolute, relative, percentage, propagation)",51,Hard,"For a quantity P = a3*b2/(c*d^0.5), if individual percentage errors are 1%, 2%, 3%, 1% respectively, total percentage error in P is",3+4+3+0.5=10.5%,3+4+3+1=11%,3+4-3+0.5=4.5%,1+2+3+1=7%,A
Physics,"Errors (absolute, relative, percentage, propagation)",52,Hard,"A measurement is taken 5 times: 9.8, 10.1, 9.9, 10.0, 10.2. Mean is 10. Mean absolute error is",0.12,0.14,0.16,0.18,C
Physics,"Errors (absolute, relative, percentage, propagation)",53,Hard,"If T = 2π√(L/g) and L = (100 ± 1) cm, g = 980 cm/s2, percentage error in T is",0.5%,1%,2%,0.1%,A
Physics,"Errors (absolute, relative, percentage, propagation)",54,Hard,Error in measurement of resistance when V = 100V ± 5V and I = 2A ± 0.1A: % error in R =,5%,7.5%,2.5%,10%,B
Physics,"Errors (absolute, relative, percentage, propagation)",55,Hard,A screw gauge has pitch 0.5 mm and 50 divisions. Its least count is,0.01 mm,0.001 mm,0.1 mm,0.05 mm,A
Physics,"Errors (absolute, relative, percentage, propagation)",56,Hard,"If relative error in density (= mass/volume) is 0.03, and relative error in mass is 0.01, relative error in volume is",0.04,0.02,0.03,0.01,B
Physics,"Errors (absolute, relative, percentage, propagation)",57,Hard,"If Z = (A^2 x B^3) / C^(1/2), the fractional error in Z is",2ΔA/A + 3ΔB/B + ΔC/2C,2ΔA/A + 3ΔB/B - ΔC/2C,2ΔA/A + 3ΔB/B + ΔC/C,ΔA/A + ΔB/B + ΔC/C,A
Physics,"Errors (absolute, relative, percentage, propagation)",58,Hard,"Three measurements of length are 5.0, 5.2, 4.8 cm. Percentage error (using mean and mean absolute error) is",2.67%,4%,1.33%,3.33%,B
Physics,"Errors (absolute, relative, percentage, propagation)",59,Hard,"In a compound pendulum experiment, if length L is measured with 1% error and time T with 0.5% error, percentage error in g = 4π2L/T2 is",1%,2%,3%,1.5%,B
Physics,"Errors (absolute, relative, percentage, propagation)",60,Hard,The minimum number of readings required to reduce random error to 1% of its original value is,10,100,50,25,B
Physics,"Errors (absolute, relative, percentage, propagation)",61,Hard,The difference between accuracy and precision: A set of measurements is precise but not accurate means,Readings are close to true value,Readings are close to each other but not to true value,Readings are far apart,Readings are exact,B
Physics,"Errors (absolute, relative, percentage, propagation)",62,Hard,A voltmeter has a full-scale deflection of 100V and accuracy of ±2% of full scale. The error at 40V reading is,±0.8V,±2V,±4V,±0.4V,B
Physics,"Errors (absolute, relative, percentage, propagation)",63,Hard,"If ΔX = ΔA + ΔB for X = A + B, and ΔA = 0.1, ΔB = 0.1, X = 10, then percentage error in X is",1%,2%,0.5%,4%,B
Physics,"Errors (absolute, relative, percentage, propagation)",64,Hard,"For Z = A^m * B^n, if random errors in A and B are σA and σB, the error in Z is",m*σA + n*σB,m*σA/A + n*σB/B (relative),Both in fraction form,sqrt(m2σA2+n2σB2)/Z,B
Physics,"Errors (absolute, relative, percentage, propagation)",65,Hard,Significant figures in 2.03050 x 104 are,6,4,5,7,A
Physics,"Errors (absolute, relative, percentage, propagation)",66,Hard,Systematic error makes measurements,More precise,Less precise,More accurate,Less accurate (biased),D
Physics,"Errors (absolute, relative, percentage, propagation)",67,Hard,Random error makes measurements,Biased,Less precise,Inaccurate in a consistent direction,Correct on average,D
Physics,"Errors (absolute, relative, percentage, propagation)",68,Hard,Instrumental error can be reduced by,Using better instrument,Calibrating,Both A and B,None,C
Physics,"Errors (absolute, relative, percentage, propagation)",69,Hard,"In the formula Z = √A, the relative error in Z is",ΔA/A,ΔA/2A,2ΔA/A,ΔA,B
Physics,"Errors (absolute, relative, percentage, propagation)",70,Hard,Vernier caliper with 10 divisions on Vernier scale and main scale division = 1 mm has a least count of,0.1 mm,1 mm,0.01 mm,10 mm,A
Physics,"Errors (absolute, relative, percentage, propagation)",71,Hard,"If reading = 4.80 ± 0.05 cm, the percentage error is",1.04%,0.5%,2.1%,5%,A
Physics,"Errors (absolute, relative, percentage, propagation)",72,Hard,Which expression correctly shows propagation of error for Z = A*B/C?,ΔZ/Z = ΔA/A + ΔB/B + ΔC/C,ΔZ/Z = ΔA/A - ΔB/B + ΔC/C,ΔZ/Z = ΔA+ΔB/ΔC,ΔZ = ΔA*ΔB/ΔC,A
Physics,"Errors (absolute, relative, percentage, propagation)",73,Hard,Environmental errors can be reduced by,Better training of observer,Temperature-controlled lab,Using digital instruments,Multiple observers,B
Physics,"Errors (absolute, relative, percentage, propagation)",74,Hard,"If two resistors R1 = 10 ± 0.1 Ω and R2 = 5 ± 0.1 Ω are in series, R = R1+R2 has error",0.2 Ω,0.1 Ω,0.05 Ω,0.3 Ω,A
Physics,"Errors (absolute, relative, percentage, propagation)",75,Hard,"For Z = a^2 b^3 c^(1/2), the % error if %error in a=1, b=2, c=4 is",8%,9%,10%,11%,B
Physics,"Errors (absolute, relative, percentage, propagation)",76,Easy But Tricky,Absolute error is always,Positive,Negative,Zero,Can be positive or negative,D
Physics,"Errors (absolute, relative, percentage, propagation)",77,Easy But Tricky,Higher precision means,Readings are closer to true value,Readings are closer to each other,No errors,Larger least count,B
Physics,"Errors (absolute, relative, percentage, propagation)",78,Easy But Tricky,A watch is 2 minutes fast. This is,Random error,Systematic error,Gross error,Zero error,B
Physics,"Errors (absolute, relative, percentage, propagation)",79,Easy But Tricky,"If absolute error = 0, then the measurement is",Perfectly accurate,Perfectly precise,Both A and B,Impossible,A
Physics,"Errors (absolute, relative, percentage, propagation)",80,Easy But Tricky,Percentage error and relative error are related by a factor of,10,100,1000,0.01,B
Physics,"Errors (absolute, relative, percentage, propagation)",81,Easy But Tricky,Adding more significant figures to a result,Increases accuracy,Increases precision,May give false precision,Reduces errors,C
Physics,"Errors (absolute, relative, percentage, propagation)",82,Easy But Tricky,"If measured value > true value, absolute error is",Positive,Negative,Zero,Infinity,A
Physics,"Errors (absolute, relative, percentage, propagation)",83,Easy But Tricky,Which is NOT a method to reduce error?,Calibration,Taking average,Using better instruments,Increasing temperature,D
Physics,"Errors (absolute, relative, percentage, propagation)",84,Easy But Tricky,The significant figures in the answer 3.0 + 4.11 should be,3,4,5,6,A
Physics,"Errors (absolute, relative, percentage, propagation)",85,Easy But Tricky,Relative error is dimensionless because,Numerator and denominator have same units,It has no physical meaning,It is a ratio,Both A and C,D
Physics,"Errors (absolute, relative, percentage, propagation)",86,Easy But Tricky,A precise instrument is not necessarily,Accurate,Expensive,Calibrated,Digital,A
Physics,"Errors (absolute, relative, percentage, propagation)",87,Easy But Tricky,"Maximum absolute error in a sum Z=A+B+C where each has error ΔA,ΔB,ΔC is",ΔA x ΔB x ΔC,ΔA + ΔB + ΔC,"Max(ΔA,ΔB,ΔC)",(ΔA+ΔB+ΔC)/3,B
Physics,"Errors (absolute, relative, percentage, propagation)",88,Easy But Tricky,Zero error should be,Added to all readings,Subtracted from all readings,Corrected by adding or subtracting as appropriate,Ignored,C
Physics,"Errors (absolute, relative, percentage, propagation)",89,Easy But Tricky,Rounding 5.675 to 3 significant figures gives,5.67,5.68,5.70,5.6,B
Physics,"Errors (absolute, relative, percentage, propagation)",90,Easy But Tricky,Error in measuring a very small quantity (like 0.01 cm) compared to a large quantity (100 cm) is,Same,Larger in percentage,Smaller in percentage,Always equal,B
Physics,"Errors (absolute, relative, percentage, propagation)",91,Easy But Tricky,The mean absolute deviation tells us,Maximum possible error,Average spread of data,True value,Number of errors,B
Physics,"Errors (absolute, relative, percentage, propagation)",92,Easy But Tricky,Which error cannot be removed by repeated measurement?,Random error,Systematic error,Both,Neither,B
Physics,"Errors (absolute, relative, percentage, propagation)",93,Easy But Tricky,"If Z = A + B - C and each has error Δ, then ΔZ =",Δ + Δ - Δ = Δ,Δ + Δ + Δ = 3Δ,Δ x Δ x Δ,Δ / 3,B
Physics,"Errors (absolute, relative, percentage, propagation)",94,Easy But Tricky,A reading of 5.0 cm means,Exactly 5 cm,Between 4.95 and 5.05 cm,Greater than 5 cm,Less than 5 cm,B
Physics,"Errors (absolute, relative, percentage, propagation)",95,Easy But Tricky,Calibration error is,Always random,Always systematic,Can be both,Neither,B
Physics,"Errors (absolute, relative, percentage, propagation)",96,Easy But Tricky,The percentage error in R = V/I when %error in V = 2% and %error in I = 3% is,1%,5%,6%,2%,B
Physics,"Errors (absolute, relative, percentage, propagation)",97,Easy But Tricky,"If two measurements have same relative error, the one with larger value has",Larger absolute error,Smaller absolute error,Same absolute error,Cannot determine,A
Physics,"Errors (absolute, relative, percentage, propagation)",98,Easy But Tricky,Personal error is caused by,Instrument defects,Human limitations,Environment,Random effects,B
Physics,"Errors (absolute, relative, percentage, propagation)",99,Easy But Tricky,Reading beyond the least count is,Accurate,Not reliable,Precise,Always correct,B
Physics,"Errors (absolute, relative, percentage, propagation)",100,Easy But Tricky,"In the expression for propagation, we always add errors (not subtract) because",Errors are always positive,Errors could cancel but we consider worst case,Subtraction is not allowed,Errors are vectors,B
Physics,Vernier caliper,1,Easy,The Vernier caliper is used to measure,Temperature,Length with more precision,Mass,Electric current,B
Physics,Vernier caliper,2,Easy,The least count of a Vernier caliper is,1 mm,0.1 mm,0.01 mm,1 cm,B
Physics,Vernier caliper,3,Easy,The formula for least count of Vernier caliper is,MSD - VSD,MSD / number of VSD,1 MSD - 1 VSD,VSD x MSD,C
Physics,Vernier caliper,4,Easy,MSD stands for,Minimum Scale Division,Main Scale Division,Maximum Scale Division,Mean Scale Division,B
Physics,Vernier caliper,5,Easy,VSD stands for,Vernier Scale Division,Vertical Scale Division,Variable Scale Division,Volume Scale Division,A
Physics,Vernier caliper,6,Easy,"If 10 VSD = 9 MSD and 1 MSD = 1 mm, least count is",0.1 mm,0.01 mm,1 mm,0.001 mm,A
Physics,Vernier caliper,7,Easy,The main scale reading is taken as,The last graduation before the Vernier zero,The graduation after the Vernier zero,Any main scale graduation,The 5th main scale mark,A
Physics,Vernier caliper,8,Easy,The Vernier scale reading is,VSD number x least count,VSD number / least count,VSD number + least count,VSD number - least count,A
Physics,Vernier caliper,9,Easy,Total reading of Vernier caliper = ,MSR + VSR,MSR - VSR,MSR x VSR,MSR / VSR,A
Physics,Vernier caliper,10,Easy,Zero error occurs when,Jaws are fully open,Jaws are fully closed but reading is not zero,Reading is maximum,Scale is broken,B
Physics,Vernier caliper,11,Easy,Positive zero error means jaws give a reading,Greater than zero when closed,Less than zero when closed,Exactly zero,None of these,A
Physics,Vernier caliper,12,Easy,A Vernier caliper has 20 divisions on Vernier scale and 1 MSD = 1mm. Least count is,0.05 mm,0.5 mm,0.1 mm,0.01 mm,A
Physics,Vernier caliper,13,Easy,The outer jaws of Vernier caliper are used to measure,Internal diameter,Depth,External diameter,Height,C
Physics,Vernier caliper,14,Easy,The inner jaws of Vernier caliper are used to measure,External diameter,Depth,Internal diameter,Length,C
Physics,Vernier caliper,15,Easy,The depth probe is used to measure,Width,Depth of holes,External diameter,Length,B
Physics,Vernier caliper,16,Easy,"If LC = 0.1 mm and Vernier coincidence is at 5th division, Vernier scale reading is",0.5 mm,5 mm,0.05 mm,50 mm,A
Physics,Vernier caliper,17,Easy,"For a Vernier caliper, 1 MSD = 1 mm and 10 VSD = 9 MSD. Then 1 VSD = ?",0.9 mm,1 mm,0.1 mm,9 mm,A
Physics,Vernier caliper,18,Easy,Vernier caliper gives readings accurate up to,1 cm,0.1 cm,0.01 cm,0.001 cm,C
Physics,Vernier caliper,19,Easy,Who invented the Vernier scale?,Galileo,Pierre Vernier,Newton,Fahrenheit,B
Physics,Vernier caliper,20,Easy,The principle of Vernier scale is based on,Two scales of same divisions,Two scales with slightly different divisions,Magnification,Reflection,B
Physics,Vernier caliper,21,Easy,"If MSR = 2.3 cm and VSR = 4 (LC = 0.01 cm), then total reading is",2.34 cm,2.43 cm,2.7 cm,2.31 cm,A
Physics,Vernier caliper,22,Easy,Least count of Vernier caliper = 1 MSD - 1 VSD. This is always,Positive,Negative,Zero,Variable,A
Physics,Vernier caliper,23,Easy,Zero error is corrected by,Adding zero error to reading,Subtracting zero error from reading,Either A or B depending on sign,Ignoring it,C
Physics,Vernier caliper,24,Easy,"If zero error = +0.02 cm, corrected reading = measured reading",+ 0.02,- 0.02,x 0.02,/ 0.02,B
Physics,Vernier caliper,25,Easy,A Vernier caliper with LC = 0.02 mm is more precise than one with LC =,0.01 mm,0.1 mm,0.001 mm,0.02 mm,B
Physics,Vernier caliper,26,Medium,A Vernier caliper has 25 VSD = 24 MSD and 1 MSD = 1 mm. Its LC is,0.04 mm,0.4 mm,0.004 mm,4 mm,A
Physics,Vernier caliper,27,Medium,"MSR = 3.2 cm, 4th division coincides, LC = 0.01 cm. Zero error = +0.03 cm. Correct reading is",3.24 cm,3.21 cm,3.27 cm,3.17 cm,B
Physics,Vernier caliper,28,Medium,"If MSR = 1.4 cm, VSR coincidence = 6, LC = 0.01 cm, and zero error = -0.02 cm, actual reading is",1.48 cm,1.44 cm,1.42 cm,1.46 cm,A
Physics,Vernier caliper,29,Medium,"In a Vernier caliper, 50 divisions on Vernier correspond to 49 on main scale (1MSD = 1mm). LC = ?",0.02 mm,0.2 mm,0.002 mm,2 mm,A
Physics,Vernier caliper,30,Medium,"If reading = 4.35 cm and zero error = +0.05 cm, corrected reading is",4.30 cm,4.40 cm,4.35 cm,4.30 cm,A
Physics,Vernier caliper,31,Medium,The coinciding Vernier division represents,Main scale reading,Additional reading beyond MSR,Zero error,None,B
Physics,Vernier caliper,32,Medium,"Vernier caliper reading: MSR = 5 mm, 7th VSD coincides, LC = 0.1 mm. Total reading = ?",5.7 mm,57 mm,0.57 mm,5.07 mm,A
Physics,Vernier caliper,33,Medium,"A Vernier caliper has LC = 0.02 mm. If 8th division coincides with main scale, the Vernier scale reading is",0.16 mm,0.8 mm,8 mm,0.08 mm,A
Physics,Vernier caliper,34,Medium,The Vernier scale is so named because it was developed in year,1600,1631,1700,1550,B
Physics,Vernier caliper,35,Medium,What is the purpose of the depth gauge in a Vernier caliper?,To measure outer diameter,To measure inner diameter,To measure depth of holes/slots,To measure angles,C
Physics,Vernier caliper,36,Medium,"If the zero of Vernier scale is to the right of zero of main scale when jaws are closed, the zero error is",Positive,Negative,Zero,Indeterminate,A
Physics,Vernier caliper,37,Medium,Vernier scale with LC = 0.1 mm can reliably measure which of these?,1.234 mm,1.1 mm,1.23 mm,1.001 mm,B
Physics,Vernier caliper,38,Medium,"If 20 VSD = 19 MSD, and 1 MSD = 0.5 mm, then LC = ?",0.025 mm,0.25 mm,0.005 mm,0.05 mm,A
Physics,Vernier caliper,39,Medium,A Vernier caliper has a positive zero error of 3 divisions (LC = 0.01 cm). Zero correction is,Add 0.03 cm,Subtract 0.03 cm,Add 3 cm,Subtract 3 cm,B
Physics,Vernier caliper,40,Medium,Vernier calipers are used for measuring diameter of spherical objects with the,Inner jaws,Outer jaws,Depth gauge,None,B
Physics,Vernier caliper,41,Medium,Main scale reading from Vernier caliper = 2.5 cm. This means,Smallest graduation seen is at 2.5 cm,Zero of Vernier lies between 2.5 and 2.6 cm,Exact measurement is 2.5 cm,2.5 is the final answer,B
Physics,Vernier caliper,42,Medium,"If LC = 0.01 cm and coinciding division = 3, the additional reading is",0.3 cm,0.03 cm,0.003 cm,3 cm,B
Physics,Vernier caliper,43,Medium,LC of Vernier caliper is expressed in,Centimetres only,Millimetres only,Inches only,Any unit of length,D
Physics,Vernier caliper,44,Medium,A Vernier caliper with LC = 0.05 mm reads 12.25 mm. What is the coinciding Vernier division?,1st,3rd,5th,10th,C
Physics,Vernier caliper,45,Medium,"If 10 VSD = 9 MSD and MSD = 1 mm, what is 1 VSD?",0.9 mm,1 mm,1.1 mm,0.1 mm,A
Physics,Vernier caliper,46,Medium,"Vernier reading = MSR + (n x LC), where n is",Number of main scale divisions,Number of coinciding Vernier division,Total divisions on Vernier,None,B
Physics,Vernier caliper,47,Medium,What happens when we use a Vernier with negative zero error?,Corrected = Reading + |zero error|,Corrected = Reading - |zero error|,No correction needed,Both A and B are wrong,A
Physics,Vernier caliper,48,Medium,"A diameter measured with outer jaws of VC gives MSR = 8 mm, 6th VSD coincides, LC = 0.1 mm. Diameter = ?",8.6 mm,8.06 mm,86 mm,0.86 mm,A
Physics,Vernier caliper,49,Medium,"For a Vernier with 50 VSD and 1 VSD = 0.98 mm, 1 MSD = 1mm, LC = ?",0.02 mm,0.2 mm,0.002 mm,2 mm,A
Physics,Vernier caliper,50,Medium,Why is the Vernier scale placed slightly offset from the main scale?,For aesthetic reasons,To read both scales simultaneously,To take readings without parallax,To increase the range,B
Physics,Vernier caliper,51,Hard,"Vernier caliper reads as follows: MSR = 2.3 cm, coinciding division = 5, LC = 0.01 cm, and negative zero error of 2 divisions. Correct reading?",2.37 cm,2.33 cm,2.35 cm,2.27 cm,A
Physics,Vernier caliper,52,Hard,If 49 VSD = 48 MSD and MSD = 1 mm. What is LC?,0.02 mm,0.2 mm,2 mm,0.002 mm,A
Physics,Vernier caliper,53,Hard,"Total Vernier reading: MSR=45mm, coinciding VSD=7, LC=0.02mm, zero error=+0.04mm. Corrected reading=?",45.10 mm,45.14 mm,45.18 mm,45.22 mm,A
Physics,Vernier caliper,54,Hard,The smallest measurable length with a Vernier of LC = 0.02 mm is,0.02 mm,0.2 mm,2 mm,0.002 mm,A
Physics,Vernier caliper,55,Hard,"In a Vernier caliper, n VSD = (n-1) MSD. If MSD = 1 mm and n = 10, the total length of Vernier scale is",9 mm,10 mm,11 mm,8 mm,A
Physics,Vernier caliper,56,Hard,"Vernier caliper MSR = 3.5 cm, Vernier coincidence = 8th, LC = 0.01 cm. Also zero error = -0.05 cm. Actual length = ?",3.63 cm,3.53 cm,3.43 cm,3.58 cm,A
Physics,Vernier caliper,57,Hard,"The vernier principle states that n VSD = (n-1) MSD. For n=20 and MSD=0.5mm, LC = ?",0.025 mm,0.25 mm,0.05 mm,0.005 mm,A
Physics,Vernier caliper,58,Hard,"A VC has LC=0.01cm. Reading: MSR=2.2cm, 7th VSD coincides. If zero error is +3 divisions, true reading is",2.24 cm,2.27 cm,2.30 cm,2.17 cm,A
Physics,Vernier caliper,59,Hard,Which reading cannot be made by a Vernier of LC=0.02mm?,10.00 mm,10.02 mm,10.01 mm,10.04 mm,C
Physics,Vernier caliper,60,Hard,"If LC = 0.1 mm and we observe 13th division coinciding, how precise is this reading?",±0.1 mm,±0.05 mm,±0.01 mm,±0.001 mm,B
Physics,Vernier caliper,61,Hard,"For measuring internal diameter, what jaws are used, and how does reading differ from external measurement?","Inner jaws, same reading procedure","Outer jaws, subtract from max","Inner jaws, same principle applies","Depth gauge, different formula",C
Physics,Vernier caliper,62,Hard,"In a Vernier caliper experiment, 5 readings are taken: 2.36, 2.38, 2.35, 2.37, 2.34 cm. Mean and mean absolute error are","2.36 cm, 0.012 cm","2.36 cm, 0.12 cm","2.37 cm, 0.01 cm","2.35 cm, 0.02 cm",A
Physics,Vernier caliper,63,Hard,"Vernier caliper zero error determination: when jaws closed, if 4th VSD aligns with main scale, and LC = 0.02mm, zero error = ?",+0.08 mm,-0.08 mm,+0.04 mm,+0.02 mm,A
Physics,Vernier caliper,64,Hard,"A high precision Vernier caliper with 50 VSD and MSD = 1 mm has LC = 0.02 mm. Reading: MSR = 25 mm, 35th VSD aligns. Reading = ?",25.70 mm,25.35 mm,25.035 mm,25.7 mm,A
Physics,Vernier caliper,65,Hard,The length of Vernier scale with n=20 and MSD=0.5mm is,9.5 mm,10 mm,19 mm,10.5 mm,A
Physics,Vernier caliper,66,Hard,"Vernier caliper reading without zero error correction: MSR=3cm, 5th coincides, LC=0.01cm. Reading = 3.05cm. With +0.03 zero error, corrected = ?",3.02 cm,3.08 cm,3.05 cm,3.00 cm,A
